,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Tampa Bay Buccaneers,13,410,5332,872,6.1,16,6,319,385,563,4084,36,10,7.0,212,292,1248,14,4.3,85,82,745,22,45.0,10.7,177.31
2,Dallas Cowboys,13,380,5318,892,6.0,18,7,298,339,501,3648,26,11,6.9,186,366,1670,11,4.6,84,103,911,28,41.1,11.3,85.37
3,Indianapolis Colts,13,371,4785,830,5.8,16,10,290,268,425,2813,22,6,6.3,139,383,1972,20,5.1,124,62,558,27,45.1,9.2,129.47
4,Los Angeles Rams,13,366,4999,806,6.2,14,4,274,317,474,3735,33,10,7.5,185,311,1264,8,4.1,71,64,548,18,48.6,9.4,131.66
5,Arizona Cardinals,13,366,4872,845,5.8,13,3,281,304,420,3279,22,10,7.3,164,394,1593,21,4.0,95,83,731,22,45.3,8.6,120.82
6,Buffalo Bills,13,363,4978,853,5.8,18,6,296,330,502,3405,28,12,6.5,181,329,1573,13,4.8,94,89,781,21,44.8,11.9,101.30
7,Cincinnati Bengals,13,354,4664,811,5.8,21,7,258,287,418,3251,26,14,7.1,161,352,1413,15,4.0,76,52,443,21,41.1,12.6,59.38
8,Los Angeles Chargers,13,351,5008,839,6.0,15,4,300,338,505,3644,30,11,6.8,191,307,1364,12,4.4,83,93,794,26,44.4,11.1,121.94
9,Kansas City Chiefs,13,351,5065,867,5.8,23,11,317,341,519,3613,27,12,6.7,201,324,1452,12,4.5,89,87,720,27,45.4,16.2,128.55
10,New England Patriots,13,350,4505,798,5.6,16,8,269,279,394,2899,18,8,6.9,142,380,1606,15,4.2,98,73,666,29,48.2,10.9,76.10
11,Minnesota Vikings,13,344,5077,860,5.9,11,6,278,321,481,3476,27,5,7.0,167,361,1601,9,4.4,89,95,899,22,42.0,7.3,84.89
12,Philadelphia Eagles,13,337,4631,814,5.7,13,5,272,233,379,2551,15,8,6.3,126,412,2080,19,5.0,128,83,643,18,42.1,9.8,85.59
13,San Francisco 49ers,13,329,4736,804,5.9,18,9,273,259,399,3125,20,9,7.3,149,378,1611,17,4.3,98,79,823,26,40.7,11.4,88.37
14,Green Bay Packers,13,328,4699,815,5.8,10,5,279,300,451,3300,28,5,6.9,173,338,1399,9,4.1,80,57,568,26,42.4,6.1,126.83
15,Tennessee Titans,13,324,4513,873,5.2,21,8,284,278,423,2722,15,13,5.9,152,413,1791,19,4.3,103,79,736,29,38.2,13.9,63.59
16,Baltimore Ravens,13,304,5044,921,5.5,20,6,310,304,467,3161,17,14,6.1,164,407,1883,14,4.6,123,83,736,23,39.0,13.0,48.07
17,New Orleans Saints,13,304,4152,811,5.1,16,5,249,235,405,2573,25,11,6.0,136,382,1579,12,4.1,91,76,635,22,34.2,10.1,18.40
18,Las Vegas Raiders,13,283,4842,815,5.9,17,7,265,339,496,3742,18,10,7.1,169,288,1100,11,3.8,66,104,924,30,39.0,11.6,56.95
19,Cleveland Browns,13,278,4539,801,5.7,14,7,262,246,392,2674,14,7,6.3,137,375,1865,17,5.0,103,89,813,22,34.6,10.5,54.22
20,Denver Broncos,13,275,4485,815,5.5,15,6,268,289,432,2885,18,9,6.2,147,350,1600,12,4.6,99,65,553,22,38.2,10.7,78.95
21,Seattle Seahawks,13,272,4033,720,5.6,10,5,223,256,382,2676,21,5,6.4,127,299,1357,12,4.5,71,73,589,25,30.3,6.9,56.23
22,Pittsburgh Steelers,13,272,4277,844,5.1,15,7,252,327,506,3128,20,8,5.8,160,308,1149,8,3.7,64,85,667,28,35.4,9.5,6.11
23,Washington Football Team,13,266,4371,840,5.2,21,9,277,285,433,2778,19,12,6.0,146,377,1593,9,4.2,100,75,672,31,35.8,15.3,24.22
24,Carolina Panthers,13,257,4038,838,4.8,23,6,253,262,447,2612,11,17,5.5,138,359,1426,15,4.0,92,93,752,23,31.8,15.2,-49.08
25,Miami Dolphins,13,254,4027,843,4.8,20,10,247,336,501,2997,17,10,5.6,168,311,1030,9,3.3,58,83,627,21,30.3,12.0,-6.42
26,Atlanta Falcons,13,245,4113,805,5.1,20,6,248,307,461,2929,17,14,6.0,160,318,1184,8,3.7,58,78,646,30,31.7,14.4,-6.44
27,New York Giants,13,232,4058,802,5.1,17,6,246,290,471,2833,13,11,5.7,147,303,1225,8,4.0,70,70,553,29,32.2,11.9,-17.86
28,Chicago Bears,13,231,3933,791,5.0,22,6,242,231,384,2295,12,16,5.4,126,365,1638,10,4.5,91,82,705,25,30.8,15.8,-24.08
29,New York Jets,13,226,4180,817,5.1,25,5,250,304,504,3086,17,20,5.7,163,277,1094,9,3.9,61,87,706,26,29.0,17.2,-26.82
30,Detroit Lions,13,213,4047,808,5.0,18,8,249,306,463,2611,14,10,5.3,144,312,1436,9,4.6,81,87,700,24,29.2,13.1,-29.85
31,Jacksonville Jaguars,13,180,3940,781,5.0,25,11,226,273,468,2605,9,14,5.3,131,288,1335,11,4.6,70,89,732,25,21.7,17.4,-45.69
32,Houston Texans,13,177,3434,771,4.5,20,7,194,270,424,2426,13,13,5.3,123,310,1008,6,3.3,52,86,711,19,23.1,12.9,-103.07
,Avg Team,,299.8,4521.7,825.1,5.5,17.5,6.8,267.2,295.0,452.8,3048.6,20.3,10.8,6.3,156.7,342.8,1473.1,12.3,4.3,85.8,80.8,696.5,24.6,37.5,11.8,50.5
,League Total,,9593,144695,26402,5.5,561,216,8549,9439,14490,97556,648,345,6.3,5015,10969,47139,394,4.3,2747,2586,22287,787,37.5,11.8,
,Avg Tm/G,,23.1,347.8,63.5,5.5,1.3,0.5,20.6,22.7,34.8,234.5,1.6,0.8,6.3,12.1,26.4,113.3,0.9,4.3,6.6,6.2,53.6,1.9,37.5,11.8,
