Away,Home,AwayTD,HomeTD
Kansas City Chiefs,Los Angeles Chargers,12,12
Las Vegas Raiders,Cleveland Browns,11,17
New England Patriots,Indianapolis Colts,15,20
Dallas Cowboys,New York Giants,11,8
Arizona Cardinals,Detroit Lions,21,9
Washington Football Team,Philadelphia Eagles,9,19
Carolina Panthers,Buffalo Bills,15,13
Tennessee Titans,Pittsburgh Steelers,19,8
Houston Texans,Jacksonville Jaguars,6,11
New York Jets,Miami Dolphins,9,9
Green Bay Packers,Baltimore Ravens,9,14
Atlanta Falcons,San Francisco 49ers,8,17
Cincinnati Bengals,Denver Broncos,15,12
Seattle Seahawks,Los Angeles Rams,12,8
New Orleans Saints,Tampa Bay Buccaneers,12,14
Minnesota Vikings,Chicago Bears,9,10
